,0
Bob Wills:New Spanish Two Step,"Down below the Rio Grande, a senorita held my hand And sweetly sang an old melody Without a worry or a care A rose she gave me from her hair And then she whispered, ""Si, Senor, Si""  In a cabaret we dance the hours away Her eyes told more than words e'er could say I told her I had to go, left her down in Mexico While the band play Spanish Two Step soft and low
"
Tex Williams Western Caravan:Smoke! Smoke! Smoke! (That Cigarette),"Now I'm a fellow with a heart of gold With the ways of a gentleman I've been told The kind of fellow that wouldn't even harm a flee  But if me and a certain character met The guy that invented the cigarette I'd murder that son-of-a-gun in the first degree  Cause, it ain't cause I don't smoke myself And I don't reckon into your health I've smoked them all my life and I ain't dead yet  But nicotine slaves are all the same At a pettin' party or a poker game Everything's gotta stop while they smoke the cigarette  Smoke, smoke, smoke that cigarette Puff, puff, puff and if you smoke yourself to death  Tell St. Peter at the Golden Gate That you hates to make him wait You've gotta have another cigarette  In a game of chance the other night Old Dame Fortune was doin' me right The kings and the queens just kept on comin' around  I got a full and I bet 'em high But my bluff didn't work on a certain guy He just kept on raisin' and layin' that money down  He'd raise me, I'd raise him I sweated blood, you gotta sink or swim He finally called, didn't raise the bet  I said ""aces full pal, how 'bout you?"" He said ""I'll tell you in just a minute or two Right now, I just gotta have myself a cigarette""  Smoke, smoke, smoke that cigarette Puff, puff, puff and if you smoke yourself to death  Tell St. Peter at the Golden Gate That you hates to make him wait You've gotta have another cigarette  The other night I had me a date With the cutest little gal on East 50 States One 'em high-bred, uptown, fancy little dames  She said she loved me and it seemed to me That everything's were like it oughta be So hand in hand we strolled down lover's lane  She was oh so far from a chunk of ice Our smoochin' party was goin' real nice So help me, Hannah I'm thinking I've been there yet  I give her a kiss, a little squeeze She said, ""Tex, excuse me please But I just gotta have a filtered cigarette""  Smoke, smoke, smoke that cigarette Puff, puff, puff and if you smoke yourself to death  Tell St. Peter at the Golden Gate That you hates to make him wait You've just gotta have another cigarette
"
Eddy Arnold:Bouquet of Roses,"I'm sending you a big bouquet of roses One for every time you broke my heart And as the door of love between us closes Tears will fall like petals when we part.  I begged you to be different But you'll always be untrue I'm tired of forgiving Now there's nothing left to do.  So I'm sending you a big bouquet of roses One for every time you broke my heart.  You made our lover's lane a road of sorrow 'Til at last we have to say goodbye You're leaving me to face each new tomorrow With a broken heart you taught to cry.  I know that I should hate you After all you've put me through But how can I be bitter When I'm still in love with you.  So I'm sending you a big bouquet of roses One for every time you broke my heart...
"
Hank Williams:Lovesick Blues,"I got a feelin' called the blues, oh Lord Since my baby said goodbye Lord I don't know what I'll do All I do is sit and sigh, oh Lord  That last long day she said goodbye Well lord I thought I would cry She'll do me, she'll do you She's got that kind of lovin'  Lord I love to hear her when she calls me sweet da-a-addy Such a beautiful dream I hate to think it's all over I've lost my heart it seems  I've grown so used to you somehow Well I'm nobody's sugar daddy now And I'm lo-o-onesome I got the lovesick blues  Well I'm in love I'm in love with a beautiful gal That's what's the matter with me Well I'm in love I'm in love with a beautiful gal But she don't care about me  Lord I tried and tried, to keep her satisfied But she just wouldn't stay So now that she is leavin' This is all I can say  I got a feelin' called the blues, oh Lord Since my baby said goodbye Lord I don't know what I'll do All I do is sit and sigh, oh Lord  That last long day she said goodbye Well Lord I thought I would cry She'll do me, she'll do you She's got that kind of lovin'  Lord I love to hear her when she calls me sweet da-a-addy Such a beautiful dream I hate to think it all over I've lost my heart it seems  I've grown so used to you somehow Lord I'm nobody's sugar daddy now And I'm lo-o-onesome I got the lovesick blues
"
Hank Snow:I'm Movin' On,"That big eight wheeler rollin' down the track Means your true lovin' daddy ain't comin' back 'Cause I'm movin' on I'll soon be gone You were flyin' too high for my little old sky So I'm movin' on  That big loud whistle as it blew and blew Said hello to the Southland we're comin' to you And we're movin' on oh hear my song You had the laugh on me so I've set you free And I'm movin' on  Mister fireman won't you please listen to me 'Cause I got a pretty mama in Tennessee Keep movin' me on keep rollin' on So shovel the coal let this rattle a roll And keep movin' me on  Mister engineer take that throttle in hand This rattler's the fastest in the southern land To keep movin' me on keep rollin' on You're gonna ease my mind put me there on time And keep rollin' on  I told you baby from time to time But you just wouldn't listen or pay me no mind Now I'm movin' on I'll soon be gone You've broken your vow and it's all over now So I'm movin' on  You switched your engine now I ain't got time For a trifling woman on my main line 'Cause I'm movin' you done your daddy wrong I've warned you twice now you can settle the price 'Cause I'm movin' on  But some day baby when you've had your play You're gonna want your daddy but your daddy will say Keep movin' on you stayed away too long I'm through with you too bad you're blue Keep movin' on
"
"Hank Williams:Cold, Cold Heart","I try so hard, my dear, to show That you're my every dream Yet you're afraid each thing I do Is just some evil scheme A memory from your lonesome past Keeps us so far apart Why can't I free your doubtful mind And melt your cold, cold heart?  Another love before my time Made your heart sad and blue And so my heart is payin' now For things I didn't do In anger, unkind words are said That make the teardrops start Why can't I free your doubtful mind And melt your cold, cold heart?  You'll never know how much it hurts To see you sit and cry You know you need and want my love Yet you're afraid to try Why do you run and hide from life? To try it just ain't smart Why can't I free your doubtful mind And melt your cold, cold heart?  There was a time when I believed That you belonged to me But now I know your heart is shackled To a memory The more I learn to care for you The more we drift apart Why can't I free your doubtful mind And melt your cold, cold heart?
"
Hank Thompson:Wild Side of Life,"You wouldn't read my letter if I wrote you You asked me not to call you on the phone But there's something I'm wanting to tell you So I wrote it in the words of this song  I didn't know God made honky tonk angels I might have known you'd never make a wife You gave up the only one that ever loved you And went back to the wild side of life  The glamour of the gay night life has lured you To the places where the wine and liquor flows Where you wait to be anybody's baby And forget the truest love you'll ever know  I didn't know God made honky tonk angels I might have known you'd never make a wife You gave up the only one that ever loved you And went back to the wild side of life
"
Hank Williams:Kaw Liga,"Kaw-Liga was a wooden Indian standing by the door He fell in love with an Indian maid over in the antique store Kaw-Liga just stood there and never let it show So she could never answer ""Yes"" or ""No"".  He always wore his Sunday feathers and held a tomahawk The maiden wore her beads and braids and hoped someday he'd talk Kaw-Liga too stubborn to ever show a sign Because his heart was made of knotty pine.  Poor ol' Kaw-Liga, he never got a kiss Poor ol' Kaw-Liga, he don't know what he missed Is it any wonder that his face is red Kaw-Liga, that poor ol' wooden head.  Kaw-Liga, was a lonely Indian never went nowhere His heart was set on the Indian maiden with the coal black hair Kaw-Liga, just stood there and never let it show So she could never answer ""Yes"" or ""No"".  Then one day a wealthy customer bought the Indian maid And took her, oh, so far away, but ol' KAW-LIGA stayed Kaw-Liga, just stands there as lonely as can be And wishes he was still an old pine tree.  Poor ol' Kaw-Liga, he never got a kiss Poor ol' Kaw-Liga, he don't know what he missed Is it any wonder that his face is red Kaw-Liga, that poor ol' wooden head.
"
Hank Snow:I Don't Hurt Anymore,"I don't hurt anymore all my teardrops are dried No more walking the floor with that burning inside Just to think it could be time has opened the door And at last I am free I don't hurt anymore  No use to deny I wanted to die The day you said we were through But now that I find you're out of my mind I can't believe that it's true I've forgotten somehow that I cared so before And it's wonderful now I don't hurt anymore  No use to deny...
"
Webb Pierce:In the Jailhouse Now,"He's in the jailhouse now He's in the jailhouse now I told him once or twice To quit playin' cards and a shootin' dice He's in the jailhouse now  Well I had a friend named Rambling Bob Who used to steal, gamble and rob He thought he was the smartest guy in town But I found out last Monday That Bob got locked up Sunday They got him in the jailhouse way downtown  He's in the jailhouse now He's in the jailhouse now I told him once or twice To quit playin' cards and a shootin' dice He's in the jailhouse now  Now I went out last Tuesday I met a girl named Susie I told her I was the swellest man around We started to spend my money And she started to callin' me honey We took in every honky tonk in town  We're in the jailhouse now We're in the jailhouse now I told her once or twice To quit playin' cards and a shootin' dice We're in the jailhouse now
"
