,emotion,year,percentile,size,genre,position,color
0,Achievement striving,1957,0.19833838551086952,0.19833838551086952,Pop,2,#3cb44b
1,Achievement striving,1967,0.3329325520512533,0.3329325520512533,Pop,2,#3cb44b
2,Achievement striving,1977,0.24622867068194665,0.24622867068194665,Pop,2,#3cb44b
3,Achievement striving,1987,0.4234221368895619,0.4234221368895619,Pop,2,#3cb44b
4,Achievement striving,1997,0.23284550831660106,0.23284550831660106,Pop,2,#3cb44b
5,Achievement striving,2007,0.3916115016049177,0.3916115016049177,Pop,2,#3cb44b
6,Achievement striving,2017,0.4634699593843392,0.4634699593843392,Pop,2,#3cb44b
7,Activity level,1957,0.07075318745233222,0.07075318745233222,Pop,3,#ffe119
8,Activity level,1967,0.2423245791671314,0.2423245791671314,Pop,3,#ffe119
9,Activity level,1977,0.2746523162477285,0.2746523162477285,Pop,3,#ffe119
10,Activity level,1987,0.3869455783777023,0.3869455783777023,Pop,3,#ffe119
11,Activity level,1997,0.0934477797954753,0.0934477797954753,Pop,3,#ffe119
12,Activity level,2007,0.21519884510446768,0.21519884510446768,Pop,3,#ffe119
13,Activity level,2017,0.42403805175228615,0.42403805175228615,Pop,3,#ffe119
14,Adventurousness,1957,0.4192087666515079,0.4192087666515079,Pop,1,#e6194b
15,Adventurousness,1967,0.6561059844352116,0.6561059844352116,Pop,1,#e6194b
16,Adventurousness,1977,0.7132571025725606,0.7132571025725606,Pop,1,#e6194b
17,Adventurousness,1987,0.6577500882730039,0.6577500882730039,Pop,1,#e6194b
18,Adventurousness,1997,0.7742230612861947,0.7742230612861947,Pop,1,#e6194b
19,Adventurousness,2007,0.7892616328197573,0.7892616328197573,Pop,1,#e6194b
20,Adventurousness,2017,0.9130028870279759,0.9130028870279759,Pop,1,#e6194b
21,Altruism,1957,0.6175361185374005,0.6175361185374005,Pop,4,#0082c8
22,Altruism,1967,0.9526765987044381,0.9526765987044381,Pop,4,#0082c8
23,Altruism,1977,0.9325428648298101,0.9325428648298101,Pop,4,#0082c8
24,Altruism,1987,0.6983021755195111,0.6983021755195111,Pop,4,#0082c8
25,Altruism,1997,0.7672626889361733,0.7672626889361733,Pop,4,#0082c8
26,Altruism,2007,0.9490929554534898,0.9490929554534898,Pop,4,#0082c8
27,Altruism,2017,0.7816252107308459,0.7816252107308459,Pop,4,#0082c8
28,Artistic interests,1957,0.9525671270279924,0.9525671270279924,Pop,6,#911eb4
29,Artistic interests,1967,0.9661130018554231,0.9661130018554231,Pop,6,#911eb4
30,Artistic interests,1977,0.9939570102589146,0.9939570102589146,Pop,6,#911eb4
31,Artistic interests,1987,0.9488970844426824,0.9488970844426824,Pop,6,#911eb4
32,Artistic interests,1997,0.9870511715205156,0.9870511715205156,Pop,6,#911eb4
33,Artistic interests,2007,0.961926208140675,0.961926208140675,Pop,6,#911eb4
34,Artistic interests,2017,0.9566106367567994,0.9566106367567994,Pop,6,#911eb4
35,Assertiveness,1957,0.2624792982325073,0.2624792982325073,Pop,8,#f032e6
36,Assertiveness,1967,0.29685090029726524,0.29685090029726524,Pop,8,#f032e6
37,Assertiveness,1977,0.2654331959327071,0.2654331959327071,Pop,8,#f032e6
38,Assertiveness,1987,0.4065536755895424,0.4065536755895424,Pop,8,#f032e6
39,Assertiveness,1997,0.11883184313311496,0.11883184313311496,Pop,8,#f032e6
40,Assertiveness,2007,0.455018341272365,0.455018341272365,Pop,8,#f032e6
41,Assertiveness,2017,0.5547035473344046,0.5547035473344046,Pop,8,#f032e6
42,Authority-challenging,1957,0.4763858311379172,0.4763858311379172,Pop,26,#A0C1B1
43,Authority-challenging,1967,0.31018072035036715,0.31018072035036715,Pop,26,#A0C1B1
44,Authority-challenging,1977,0.5019542974538201,0.5019542974538201,Pop,26,#A0C1B1
45,Authority-challenging,1987,0.4388989374767133,0.4388989374767133,Pop,26,#A0C1B1
46,Authority-challenging,1997,0.4613460209928008,0.4613460209928008,Pop,26,#A0C1B1
47,Authority-challenging,2007,0.5786331554761149,0.5786331554761149,Pop,26,#A0C1B1
48,Authority-challenging,2017,0.18043884622782824,0.18043884622782824,Pop,26,#A0C1B1
49,Cautiousness,1957,0.35047831949271324,0.35047831949271324,Pop,7,#46f0f0
50,Cautiousness,1967,0.31630898250564143,0.31630898250564143,Pop,7,#46f0f0
51,Cautiousness,1977,0.1082007312045324,0.1082007312045324,Pop,7,#46f0f0
52,Cautiousness,1987,0.469585090453156,0.469585090453156,Pop,7,#46f0f0
53,Cautiousness,1997,0.4778230757342288,0.4778230757342288,Pop,7,#46f0f0
