,Emotion,1957,1967,1977,1987,1997,2007,2017
0,Adventurousness,0.41920876665150786,0.6561059844352116,0.7132571025725606,0.6577500882730039,0.7742230612861947,0.7892616328197573,0.913002887027976
1,Achievement striving,0.19833838551086952,0.3329325520512533,0.24622867068194665,0.4234221368895619,0.23284550831660106,0.3916115016049177,0.46346995938433916
2,Activity level,0.07075318745233222,0.2423245791671314,0.27465231624772846,0.38694557837770227,0.0934477797954753,0.21519884510446768,0.42403805175228615
3,Altruism,0.6175361185374005,0.952676598704438,0.93254286482981,0.6983021755195111,0.7672626889361733,0.9490929554534898,0.781625210730846
4,Fiery,0.3666346731379867,0.23667864611744077,0.40438037500555335,0.2422861866681127,0.2200918197955143,0.047624890309672596,0.16419082326503148
5,Artistic interests,0.9525671270279924,0.9661130018554233,0.9939570102589146,0.9488970844426823,0.9870511715205156,0.961926208140675,0.9566106367567994
6,Cautiousness,0.35047831949271324,0.31630898250564143,0.10820073120453239,0.469585090453156,0.4778230757342288,0.5676461611319991,0.3095568746209445
7,Assertiveness,0.2624792982325073,0.29685090029726524,0.2654331959327071,0.4065536755895424,0.11883184313311496,0.455018341272365,0.5547035473344046
8,Cooperation,0.4280536899211378,0.5686532771370028,0.4253316099248279,0.44981634927847336,0.7415776591824688,0.7736063429460992,0.507215383422058
9,Prone to worry,0.2657507634321685,0.31157872964658767,0.6524273255911158,0.2344610211329929,0.3450172673994249,0.13855487248367376,0.11433520055902086
10,Emotionality,0.7797007275786084,0.9689292908286469,0.9939005195412611,0.8181914846550983,0.9544355574468945,0.9765078574674235,0.8572256737413344
11,Dutifulness,0.24480926638375322,0.5735155602591759,0.2795963181019767,0.3632670228919176,0.46900633523740287,0.5941283762523915,0.37607253280424585
12,Cheerfulness,0.843149177504221,0.8897897415197726,0.9192087866482332,0.9178680459510002,0.9368827782854439,0.9503330480326198,0.997073164685277
13,Modesty,0.7681307952356189,0.9523425618319042,0.8425061195449075,0.7271882252214522,0.9439073636349729,0.873516976690523,0.7615426272787711
14,Melancholy,0.656346907534301,0.7969822170483971,0.9234144982953236,0.5431629801806,0.6332518771229367,0.36545296892000173,0.3218724927802424
15,Imagination,0.7747771536527119,0.8474279227964691,0.9819121754532847,0.8942496599322642,0.7284283792301073,0.6521730952040625,0.7185176778028612
16,Orderliness,0.6028478531096662,0.4500914056362121,0.29217951015927834,0.7194174294081306,0.4638992183966396,0.5452286785828782,0.7522535431174802
17,Excitement-seeking,0.5196526568545133,0.5883983816607824,0.8731468005945512,0.6997380469749349,0.5206150771994575,0.5637892778938626,0.8628019320291564
18,Uncompromising,0.8609104160932572,0.9466417265590265,0.8831864096082611,0.8922811808072333,0.9754139153143557,0.96784506763103,0.941393531414457
19,Immoderation,0.7070527898535889,0.7424972234849704,0.8651736689717063,0.6911751443980403,0.6285105365073456,0.7492500647786096,0.6102840221964132
20,Intellect,0.9259812084233621,0.8993894688958036,0.920334139387787,0.7785641089116733,0.7493843343748734,0.8770653134715303,0.6764287841561651
21,Self-discipline,0.2423838084429239,0.3057648020518091,0.13517777305717754,0.4602852164421971,0.3227761783328663,0.427515860766275,0.7481127286255089
22,Outgoing,0.4041775345565206,0.6184774196285657,0.49441694206498776,0.7933537986201948,0.3140829243951424,0.6879021618951704,0.915825211906488
23,Sympathy,0.8984058762788498,0.9801140756748947,0.9662295029911399,0.8635216511599928,0.8084374339948577,0.9421720462037042,0.7164320643608887
24,Self-consciousness,0.36892489688734004,0.24452307591189532,0.4020666141872821,0.15853593296685436,0.4702735484681061,0.19037442886994016,0.06976039485578678
25,Authority-challenging,0.4763858311379172,0.31018072035036715,0.5019542974538201,0.4388989374767133,0.4613460209928008,0.5786331554761149,0.18043884622782824
26,Self-efficacy,0.1424880359009934,0.19084013624532215,0.2111254695813417,0.36324903269435793,0.052424597759760216,0.18635465970964854,0.37474477400953454
27,Gregariousness,0.21302402877213616,0.4666384920546946,0.5755641201717461,0.8194432935605394,0.21414014755695715,0.6591831907395003,0.8836863809079549
28,Trust,0.05197533200680343,0.1908207963361508,0.1340793331006251,0.32697117501733663,0.07104183885204457,0.3100493552855121,0.14631741726611597
29,Susceptible to stress,0.5417319268172098,0.5658970809597411,0.8398448249800947,0.3251685681868805,0.7349673380221534,0.34874051578995224,0.22400618877148498
