,0
Louis Jordan:Ain't Nobody Here But Us Chickens,"One night farmer Brown was takin' the airs Locked up the barnyard with the greatest of care Down in the hen house, somethin' stirred When he shouted, ""Who's there?"" This is what he heard  ""There ain't nobody here but us chickens There ain't nobody here at all So calm yourself and stop that fuss There ain't nobody here but us We chickens tryin' to sleep and you butt in And hobble, hobble hobble hobble with your chin""  ""There ain't nobody here but us chickens There ain't nobody here at all You're stompin' around and shakin' the ground You're kickin' up an awful dust We chicken's tryin' to sleep and you butt in And hobble, hobble hobble hobble, it's a sin""  ""Tomorrow is a busy day We got things to do, We got eggs to lay We got ground to dig and worms to scratch It takes a lot of settin', gettin' chicks to hatch""  ""Oh, there ain't nobody here but us chickens There ain't nobody here at all So quiet yourself and stop that fuss There ain't nobody here but us Kindly point that gun the other way And hobble, hobble hobble of and hit the hay""  ""Tomorrow is a busy day We got things to do, we got eggs to lay We got ground to dig and worms to scratch It takes a lot of settin', gettin' chicks to hatch""  ""There ain't nobody here but us chickens There ain't nobody here at all So quiet yourself and stop that fuss There ain't nobody here but us And kindly point that gun the other way And hobble, hobble hobble of and hit the hay""  ""Hey, hey, boss man, what do ya say? It's easy pickings Ain't nobody here but us chickens"""
Sonny Thompson:Long Gone,"The minute you're gone I cry the minute you're gone I die Before you walk out of sight I'm like a child all alone at night I stare into emptiness I'm filled with such loneliness The world goes from right to wrong the minute you're gone The minute you're gone I see oh how lonely a man I'll be My life would be oh so blue if I couldn't be with you The minute you're gone I pray the minute you're gone I say Please don't stay away too long the minute you're gone (The minute you're gone I see) oh how lonely a man I'll be (My life would be oh so blue) if I couldn't be with you The minute you're gone I pray the minute you're gone I say Please don't stay away too long the minute you're gone (gone) gone"
Paul Williams:The Hucklebuck," Instrumental"
Joe Liggins:Pink Champagne,"Pink champagne that stole my love from me Pink champagne that stole my love from me Pink champagne, where can my lover be?  Champagne, champagne Mellow, mellow eyes Champagne, champagne Mellow, mellow eyes Makes me wanna feel so drunk on wine  Pink champagne that left me feeling blue Pink champagne that left me feeling blue Pink champagne that broke my heart in two  Pink champagne, as good as wine can be Pink champagne, as good as wine can be Pink champagne has made her, uh, love me  Champagne, champagne Mellow, mellow eyes Champagne, champagne Mellow, mellow eyes Makes me wanna feel so drunk on wine"
The Dominoes:Sixty Minute Man,"Sixty minute man, sixty minute man Look a here girls I'm telling you now They call me ""Lovin' Dan"" I rock 'em, roll 'em all night long I'm a sixty minute man  If you don't believe I'mm all that I say Come up and take my hand When I let you go you'll cry ""Oh yes,"" ""He's a sixty minute man  There'll be 15 minutes of kissing Then you'll holler ""please don't stop"" There'll be 15 minutes of teasing And 15 minutes of squeezing And 15 minutes of blowing my top  If your man ain't treating you right Come up and see ol' Dan I rock 'em, roll 'em all night long I'm a sixty minute man  Sixty minute man They call me Lovin' Dan I rock 'em, roll 'em all night long I'm a sixty minute man  Sixty minute man They call me Lovin' Dan I rock 'em, roll 'em all night long I'm a sixty minute man  There'll be 15 minutes of kissing Then you'll holler ""please don't stop"" There'll be 15 minutes of teasing And 15 minutes of squeezing And 15 minutes of blowing my top  If your man ain't treating you right Come up and see ol' Dan I rock 'em, roll 'em all night long I'm a sixty minute man, oh yeah Sixty Minute man"
Lloyd Price:Lawdy Miss Clawdy,"Well now lawdy, lawdy, lawdy, Miss Clawdy Girl, you sure look good to me Well, please don't excite me baby Know it can't be me  Because I gave you all my money Girl, but you just won't treat me right You like to ball in the mornin' Don't come back till late at night  I'm gonna tell, tell my mama Girl I'm gonna tell what you doing to me I'm gonna tell everybody That I'm down in misery  Well lawdy, lawdy, lawdy, Miss Clawdy Girl you sure look good to me You just wheel and rockin' baby Just as fine as you can be  Well so bye, bye-bye, baby Girl, I won't be comin' no more Bye darlin', I'm dying Down the road I go"
Ruth Brown:(Mama) He Treats Your Daughter Mean,"Mama, he treats your daughter mean Mama, he treats your daughter mean Mama, he treats your daughter mean He's the meanest man I've ever seen  Mama, he treats me badly Makes me love him madly Mama, he takes my money Makes me call him honey  Mama, he can't be trusted Makes me so disgusted All of my friends say they don't understand What's the matter with this man  I tell you Mama, he treats your daughter mean Mama, he treats your daughter mean Mama, he treats your daughter mean He's the mean, meanest man I've ever seen  Mama, this man is lazy Almost drives me crazy Mama, he makes me squeeze him Still my squeeze don't please him  Mama, my heart is aching I believe it's breaking Mama, I've stood through all that, I can stand What's the matter with this man?  I tell you Mama, he treats your daughter mean Mama, he treats your daughter mean Mama, he treats your daughter mean He's the mean, meanest man I've ever seen"
"Midnighters:Work With Me, Annie","Work with me, Annie Work with me, Annie Work with me, Annie Work with me, Annie  Work with me, Ann-ie-e Let's get it while the gettin' is good  (So good, so good, so good, so good)  Annie, please don't cheat Give me all my meat, ooh! So good to me  Work with me Ann-ie-e Now, let's get it while the gettin' is good  (So good, so good, so good, so good)  Annie, oh how you thrill me Make my head go round and round  And all my love come dow-ow-own  Work with me, Annie (A-um, a-um, a-um, a-um) Work with me, Annie Don't be 'shamed To work with me, Annie Call my name Work with me, Annie  Work with me, Ann-ie-e Let's get it while the gettin' is good  (So good, so good, so good, so good)  So Good!  Oh, our hot lips kissing Girl, I'll beg mercy Oh, hugging and more teasing Don't want no freezing  A-work with me, Ann-ie-e Let's get it while the gettin' is good  (So good, so good, so good, so good)"
Johnny Ace:Pledging My Love,"Forever my darling our love will be true  Always and forever I'll love only you  Just promise me darling your love in return  May this fire in my soul dear forever burn   My heart's at your command dear  To keep love and to hold  Making you happy is my desire dear  Keeping you is my goal   I'll forever love you  For the rest of my days  I'll never part from you  Or your loving ways  Just promise me darling your love in return  May this fire in my soul dear forever burn   My heart's at your command dear  To keep love and to hold  Making you happy is my desire dear  Loving you is my goal   I'll forever love you  For the rest of my days  I'll never part from you  Or your loving ways  Just promise me darling your love in return  May this fire in my soul dear forever burn"
Bill Doggett:Honky Tonk," Instrumental"
