,emotion,year,percentile,size,genre,position,color
0,Achievement striving,1957,0.248446338,0.248446338,Pop,2,#3cb44b
1,Achievement striving,1967,0.160298254,0.160298254,Pop,2,#3cb44b
2,Achievement striving,1977,0.563011181,0.563011181,Pop,2,#3cb44b
3,Achievement striving,1987,0.218694676,0.218694676,Pop,2,#3cb44b
4,Achievement striving,1997,0.528630139,0.528630139,Pop,2,#3cb44b
5,Achievement striving,2007,0.157810053,0.157810053,Pop,2,#3cb44b
6,Achievement striving,2017,0.336592857,0.336592857,Pop,2,#3cb44b
7,Activity level,1957,0.249253368,0.249253368,Pop,3,#ffe119
8,Activity level,1967,0.139884933,0.139884933,Pop,3,#ffe119
9,Activity level,1977,0.318581969,0.318581969,Pop,3,#ffe119
10,Activity level,1987,0.183012478,0.183012478,Pop,3,#ffe119
11,Activity level,1997,0.46974692,0.46974692,Pop,3,#ffe119
12,Activity level,2007,0.166704171,0.166704171,Pop,3,#ffe119
13,Activity level,2017,0.381873769,0.381873769,Pop,3,#ffe119
14,Adventurousness,1957,0.591353926,0.591353926,Pop,1,#e6194b
15,Adventurousness,1967,0.858989026,0.858989026,Pop,1,#e6194b
16,Adventurousness,1977,0.953183194,0.953183194,Pop,1,#e6194b
17,Adventurousness,1987,0.914622022,0.914622022,Pop,1,#e6194b
18,Adventurousness,1997,0.976460935,0.976460935,Pop,1,#e6194b
19,Adventurousness,2007,0.957936345,0.957936345,Pop,1,#e6194b
20,Adventurousness,2017,0.991356814,0.991356814,Pop,1,#e6194b
21,Altruism,1957,0.969342129,0.969342129,Pop,4,#0082c8
22,Altruism,1967,0.170522967,0.170522967,Pop,4,#0082c8
23,Altruism,1977,0.897855307,0.897855307,Pop,4,#0082c8
24,Altruism,1987,0.929274394,0.929274394,Pop,4,#0082c8
25,Altruism,1997,0.912281664,0.912281664,Pop,4,#0082c8
26,Altruism,2007,0.814334658,0.814334658,Pop,4,#0082c8
27,Altruism,2017,0.43532568,0.43532568,Pop,4,#0082c8
28,Artistic interests,1957,0.997246337,0.997246337,Pop,6,#911eb4
29,Artistic interests,1967,0.995506646,0.995506646,Pop,6,#911eb4
30,Artistic interests,1977,0.997583423,0.997583423,Pop,6,#911eb4
31,Artistic interests,1987,0.948776755,0.948776755,Pop,6,#911eb4
32,Artistic interests,1997,0.980028339,0.980028339,Pop,6,#911eb4
33,Artistic interests,2007,0.947646764,0.947646764,Pop,6,#911eb4
34,Artistic interests,2017,0.96164927,0.96164927,Pop,6,#911eb4
35,Assertiveness,1957,0.189563028,0.189563028,Pop,8,#f032e6
36,Assertiveness,1967,0.076745629,0.076745629,Pop,8,#f032e6
37,Assertiveness,1977,0.132403617,0.132403617,Pop,8,#f032e6
38,Assertiveness,1987,0.554799761,0.554799761,Pop,8,#f032e6
39,Assertiveness,1997,0.374116197,0.374116197,Pop,8,#f032e6
40,Assertiveness,2007,0.32287482,0.32287482,Pop,8,#f032e6
41,Assertiveness,2017,0.529652633,0.529652633,Pop,8,#f032e6
42,Authority-challenging,1957,0.533057507,0.533057507,Pop,26,#A0C1B1
43,Authority-challenging,1967,0.952697222,0.952697222,Pop,26,#A0C1B1
44,Authority-challenging,1977,0.489730045,0.489730045,Pop,26,#A0C1B1
45,Authority-challenging,1987,0.219879604,0.219879604,Pop,26,#A0C1B1
46,Authority-challenging,1997,0.199848316,0.199848316,Pop,26,#A0C1B1
47,Authority-challenging,2007,0.517274039,0.517274039,Pop,26,#A0C1B1
48,Authority-challenging,2017,0.340418745,0.340418745,Pop,26,#A0C1B1
49,Cautiousness,1957,0.264013343,0.264013343,Pop,7,#46f0f0
50,Cautiousness,1967,0.625442288,0.625442288,Pop,7,#46f0f0
51,Cautiousness,1977,0.850118784,0.850118784,Pop,7,#46f0f0
52,Cautiousness,1987,0.041879301,0.041879301,Pop,7,#46f0f0
53,Cautiousness,1997,0.507242492,0.507242492,Pop,7,#46f0f0
54,Cautiousness,2007,0.199750169,0.199750169,Pop,7,#46f0f0
55,Cautiousness,2017,0.434592228,0.434592228,Pop,7,#46f0f0
56,Cheerfulness,1957,0.896943914,0.896943914,Pop,13,#aa6e28
57,Cheerfulness,1967,0.682408956,0.682408956,Pop,13,#aa6e28
58,Cheerfulness,1977,0.983902394,0.983902394,Pop,13,#aa6e28
59,Cheerfulness,1987,0.979880206,0.979880206,Pop,13,#aa6e28
60,Cheerfulness,1997,0.982335527,0.982335527,Pop,13,#aa6e28
61,Cheerfulness,2007,0.967445447,0.967445447,Pop,13,#aa6e28
62,Cheerfulness,2017,0.995972147,0.995972147,Pop,13,#aa6e28
63,Cooperation,1957,0.732201453,0.732201453,Pop,9,#d2f53c
64,Cooperation,1967,0.424872144,0.424872144,Pop,9,#d2f53c
65,Cooperation,1977,0.943095175,0.943095175,Pop,9,#d2f53c
66,Cooperation,1987,0.361922184,0.361922184,Pop,9,#d2f53c
67,Cooperation,1997,0.707173354,0.707173354,Pop,9,#d2f53c
68,Cooperation,2007,0.561538749,0.561538749,Pop,9,#d2f53c
69,Cooperation,2017,0.471615911,0.471615911,Pop,9,#d2f53c
70,Dutifulness,1957,0.524536933,0.524536933,Pop,12,#e6beff
71,Dutifulness,1967,0.083078257,0.083078257,Pop,12,#e6beff
72,Dutifulness,1977,0.494300316,0.494300316,Pop,12,#e6beff
73,Dutifulness,1987,0.233500048,0.233500048,Pop,12,#e6beff
74,Dutifulness,1997,0.492574717,0.492574717,Pop,12,#e6beff
75,Dutifulness,2007,0.201476435,0.201476435,Pop,12,#e6beff
76,Dutifulness,2017,0.133148578,0.133148578,Pop,12,#e6beff
77,Emotionality,1957,0.991583088,0.991583088,Pop,11,#008080
78,Emotionality,1967,0.553539885,0.553539885,Pop,11,#008080
79,Emotionality,1977,0.961172067,0.961172067,Pop,11,#008080
80,Emotionality,1987,0.98441867,0.98441867,Pop,11,#008080
81,Emotionality,1997,0.961875151,0.961875151,Pop,11,#008080
82,Emotionality,2007,0.913591332,0.913591332,Pop,11,#008080
83,Emotionality,2017,0.505750817,0.505750817,Pop,11,#008080
84,Excitement-seeking,1957,0.716891508,0.716891508,Pop,18,#ffd8b1
85,Excitement-seeking,1967,0.648004348,0.648004348,Pop,18,#ffd8b1
86,Excitement-seeking,1977,0.458909882,0.458909882,Pop,18,#ffd8b1
87,Excitement-seeking,1987,0.922331375,0.922331375,Pop,18,#ffd8b1
88,Excitement-seeking,1997,0.820011091,0.820011091,Pop,18,#ffd8b1
89,Excitement-seeking,2007,0.872371282,0.872371282,Pop,18,#ffd8b1
90,Excitement-seeking,2017,0.825268943,0.825268943,Pop,18,#ffd8b1
91,Fiery,1957,0.222397852,0.222397852,Pop,5,#f58231
92,Fiery,1967,0.402417066,0.402417066,Pop,5,#f58231
93,Fiery,1977,0.047598018,0.047598018,Pop,5,#f58231
94,Fiery,1987,0.369099554,0.369099554,Pop,5,#f58231
95,Fiery,1997,0.11248647,0.11248647,Pop,5,#f58231
96,Fiery,2007,0.13038468,0.13038468,Pop,5,#f58231
97,Fiery,2017,0.105707579,0.105707579,Pop,5,#f58231
98,Gregariousness,1957,0.437091551,0.437091551,Pop,28,##9ACBEA
99,Gregariousness,1967,0.317948235,0.317948235,Pop,28,##9ACBEA
100,Gregariousness,1977,0.675015192,0.675015192,Pop,28,##9ACBEA
101,Gregariousness,1987,0.797037115,0.797037115,Pop,28,##9ACBEA
102,Gregariousness,1997,0.540112398,0.540112398,Pop,28,##9ACBEA
103,Gregariousness,2007,0.740738583,0.740738583,Pop,28,##9ACBEA
104,Gregariousness,2017,0.964862817,0.964862817,Pop,28,##9ACBEA
105,Imagination,1957,0.923417066,0.923417066,Pop,16,#aaffc3
106,Imagination,1967,0.983798674,0.983798674,Pop,16,#aaffc3
107,Imagination,1977,0.780632516,0.780632516,Pop,16,#aaffc3
108,Imagination,1987,0.900895427,0.900895427,Pop,16,#aaffc3
109,Imagination,1997,0.807556194,0.807556194,Pop,16,#aaffc3
110,Imagination,2007,0.711436032,0.711436032,Pop,16,#aaffc3
111,Imagination,2017,0.654596607,0.654596607,Pop,16,#aaffc3
112,Immoderation,1957,0.600418213,0.600418213,Pop,20,#808080
113,Immoderation,1967,0.717910361,0.717910361,Pop,20,#808080
114,Immoderation,1977,0.294349201,0.294349201,Pop,20,#808080
115,Immoderation,1987,0.569399078,0.569399078,Pop,20,#808080
116,Immoderation,1997,0.279401499,0.279401499,Pop,20,#808080
117,Immoderation,2007,0.680797248,0.680797248,Pop,20,#808080
118,Immoderation,2017,0.349904001,0.349904001,Pop,20,#808080
119,Intellect,1957,0.859458262,0.859458262,Pop,21,#000000
120,Intellect,1967,0.895127359,0.895127359,Pop,21,#000000
121,Intellect,1977,0.883433252,0.883433252,Pop,21,#000000
122,Intellect,1987,0.594039109,0.594039109,Pop,21,#000000
123,Intellect,1997,0.740596879,0.740596879,Pop,21,#000000
124,Intellect,2007,0.785677746,0.785677746,Pop,21,#000000
125,Intellect,2017,0.568591722,0.568591722,Pop,21,#000000
126,Melancholy,1957,0.858862669,0.858862669,Pop,15,#800000
127,Melancholy,1967,0.570661572,0.570661572,Pop,15,#800000
128,Melancholy,1977,0.251434733,0.251434733,Pop,15,#800000
129,Melancholy,1987,0.639149157,0.639149157,Pop,15,#800000
130,Melancholy,1997,0.528766329,0.528766329,Pop,15,#800000
131,Melancholy,2007,0.612859171,0.612859171,Pop,15,#800000
132,Melancholy,2017,0.195645076,0.195645076,Pop,15,#800000
133,Modesty,1957,0.95690555,0.95690555,Pop,14,#fffac8
134,Modesty,1967,0.556996048,0.556996048,Pop,14,#fffac8
135,Modesty,1977,0.979432302,0.979432302,Pop,14,#fffac8
136,Modesty,1987,0.864601991,0.864601991,Pop,14,#fffac8
137,Modesty,1997,0.971664887,0.971664887,Pop,14,#fffac8
138,Modesty,2007,0.901459265,0.901459265,Pop,14,#fffac8
139,Modesty,2017,0.603074834,0.603074834,Pop,14,#fffac8
140,Orderliness,1957,0.467706714,0.467706714,Pop,17,#808000
141,Orderliness,1967,0.792234223,0.792234223,Pop,17,#808000
142,Orderliness,1977,0.938559181,0.938559181,Pop,17,#808000
143,Orderliness,1987,0.661331937,0.661331937,Pop,17,#808000
144,Orderliness,1997,0.654120937,0.654120937,Pop,17,#808000
145,Orderliness,2007,0.453167725,0.453167725,Pop,17,#808000
146,Orderliness,2017,0.961864491,0.961864491,Pop,17,#808000
147,Outgoing,1957,0.645135721,0.645135721,Pop,23,#F84EB8
148,Outgoing,1967,0.339127307,0.339127307,Pop,23,#F84EB8
149,Outgoing,1977,0.765326661,0.765326661,Pop,23,#F84EB8
150,Outgoing,1987,0.796835423,0.796835423,Pop,23,#F84EB8
151,Outgoing,1997,0.604872857,0.604872857,Pop,23,#F84EB8
152,Outgoing,2007,0.620165646,0.620165646,Pop,23,#F84EB8
153,Outgoing,2017,0.948680752,0.948680752,Pop,23,#F84EB8
154,Prone to worry,1957,0.647706674,0.647706674,Pop,10,#fabebe
155,Prone to worry,1967,0.32111106,0.32111106,Pop,10,#fabebe
156,Prone to worry,1977,0.073918057,0.073918057,Pop,10,#fabebe
157,Prone to worry,1987,0.485197975,0.485197975,Pop,10,#fabebe
158,Prone to worry,1997,0.193813817,0.193813817,Pop,10,#fabebe
159,Prone to worry,2007,0.286559668,0.286559668,Pop,10,#fabebe
160,Prone to worry,2017,0.04505558,0.04505558,Pop,10,#fabebe
161,Self-consciousness,1957,0.363442658,0.363442658,Pop,25,#586185
162,Self-consciousness,1967,0.487972013,0.487972013,Pop,25,#586185
163,Self-consciousness,1977,0.09503035,0.09503035,Pop,25,#586185
164,Self-consciousness,1987,0.166891736,0.166891736,Pop,25,#586185
165,Self-consciousness,1997,0.286802745,0.286802745,Pop,25,#586185
166,Self-consciousness,2007,0.318664688,0.318664688,Pop,25,#586185
167,Self-consciousness,2017,0.043605419,0.043605419,Pop,25,#586185
168,Self-discipline,1957,0.250943054,0.250943054,Pop,22,#B06A3F
169,Self-discipline,1967,0.131801069,0.131801069,Pop,22,#B06A3F
170,Self-discipline,1977,0.776277998,0.776277998,Pop,22,#B06A3F
171,Self-discipline,1987,0.298208571,0.298208571,Pop,22,#B06A3F
172,Self-discipline,1997,0.683429649,0.683429649,Pop,22,#B06A3F
173,Self-discipline,2007,0.357243361,0.357243361,Pop,22,#B06A3F
174,Self-discipline,2017,0.846395347,0.846395347,Pop,22,#B06A3F
175,Self-efficacy,1957,0.171545249,0.171545249,Pop,27,#ECF190
176,Self-efficacy,1967,0.06439052,0.06439052,Pop,27,#ECF190
177,Self-efficacy,1977,0.133230454,0.133230454,Pop,27,#ECF190
178,Self-efficacy,1987,0.37099685,0.37099685,Pop,27,#ECF190
179,Self-efficacy,1997,0.315636257,0.315636257,Pop,27,#ECF190
180,Self-efficacy,2007,0.120144433,0.120144433,Pop,27,#ECF190
181,Self-efficacy,2017,0.327034403,0.327034403,Pop,27,#ECF190
182,Susceptible to stress,1957,0.797852123,0.797852123,Pop,30,##700C05
183,Susceptible to stress,1967,0.437232058,0.437232058,Pop,30,##700C05
184,Susceptible to stress,1977,0.376919662,0.376919662,Pop,30,##700C05
185,Susceptible to stress,1987,0.63057895,0.63057895,Pop,30,##700C05
186,Susceptible to stress,1997,0.537419476,0.537419476,Pop,30,##700C05
187,Susceptible to stress,2007,0.580427351,0.580427351,Pop,30,##700C05
188,Susceptible to stress,2017,0.111108232,0.111108232,Pop,30,##700C05
189,Sympathy,1957,0.98677868,0.98677868,Pop,24,#074D26
190,Sympathy,1967,0.836962768,0.836962768,Pop,24,#074D26
191,Sympathy,1977,0.974253088,0.974253088,Pop,24,#074D26
192,Sympathy,1987,0.834234183,0.834234183,Pop,24,#074D26
