,emotion,year,percentile,size,genre,position,color
0,Achievement striving,1957,0.10271714057846654,0.10271714057846654,Pop,2,#3cb44b
1,Achievement striving,1967,0.27239113110094954,0.27239113110094954,Pop,2,#3cb44b
2,Achievement striving,1977,0.3006894271480815,0.3006894271480815,Pop,2,#3cb44b
3,Achievement striving,1987,0.5614911171022521,0.5614911171022521,Pop,2,#3cb44b
4,Achievement striving,1997,0.34625470142174986,0.34625470142174986,Pop,2,#3cb44b
5,Achievement striving,2007,0.33941431280687073,0.33941431280687073,Pop,2,#3cb44b
6,Achievement striving,2017,0.34534531834500914,0.34534531834500914,Pop,2,#3cb44b
7,Activity level,1957,0.2217962305844016,0.2217962305844016,Pop,3,#ffe119
8,Activity level,1967,0.20064018176148116,0.20064018176148116,Pop,3,#ffe119
9,Activity level,1977,0.1743355256006518,0.1743355256006518,Pop,3,#ffe119
10,Activity level,1987,0.37200269743773295,0.37200269743773295,Pop,3,#ffe119
11,Activity level,1997,0.07777753833374418,0.07777753833374418,Pop,3,#ffe119
12,Activity level,2007,0.1828340516927509,0.1828340516927509,Pop,3,#ffe119
13,Activity level,2017,0.23059712955087516,0.23059712955087516,Pop,3,#ffe119
14,Adventurousness,1957,0.7853514663597241,0.7853514663597241,Pop,1,#e6194b
15,Adventurousness,1967,0.7602279037306922,0.7602279037306922,Pop,1,#e6194b
16,Adventurousness,1977,0.985506789188412,0.985506789188412,Pop,1,#e6194b
17,Adventurousness,1987,0.9704555662180978,0.9704555662180978,Pop,1,#e6194b
18,Adventurousness,1997,0.9816319590180388,0.9816319590180388,Pop,1,#e6194b
19,Adventurousness,2007,0.9829317048201701,0.9829317048201701,Pop,1,#e6194b
20,Adventurousness,2017,0.9595033465366573,0.9595033465366573,Pop,1,#e6194b
21,Altruism,1957,0.8125512152721788,0.8125512152721788,Pop,4,#0082c8
22,Altruism,1967,0.7113765776358815,0.7113765776358815,Pop,4,#0082c8
23,Altruism,1977,0.5688671577555852,0.5688671577555852,Pop,4,#0082c8
24,Altruism,1987,0.949491527820678,0.949491527820678,Pop,4,#0082c8
25,Altruism,1997,0.8788092569404067,0.8788092569404067,Pop,4,#0082c8
26,Altruism,2007,0.8705148130494309,0.8705148130494309,Pop,4,#0082c8
27,Altruism,2017,0.6736408006566837,0.6736408006566837,Pop,4,#0082c8
28,Artistic interests,1957,0.9522269224989006,0.9522269224989006,Pop,6,#911eb4
29,Artistic interests,1967,0.8562426785370247,0.8562426785370247,Pop,6,#911eb4
30,Artistic interests,1977,0.978965924805642,0.978965924805642,Pop,6,#911eb4
31,Artistic interests,1987,0.9801809000907896,0.9801809000907896,Pop,6,#911eb4
32,Artistic interests,1997,0.9954403806644184,0.9954403806644184,Pop,6,#911eb4
33,Artistic interests,2007,0.980008436682924,0.980008436682924,Pop,6,#911eb4
34,Artistic interests,2017,0.9788038298067224,0.9788038298067224,Pop,6,#911eb4
35,Assertiveness,1957,0.6469254989247539,0.6469254989247539,Pop,8,#f032e6
36,Assertiveness,1967,0.30823457250674763,0.30823457250674763,Pop,8,#f032e6
37,Assertiveness,1977,0.3369350297027105,0.3369350297027105,Pop,8,#f032e6
38,Assertiveness,1987,0.4103557729783857,0.4103557729783857,Pop,8,#f032e6
39,Assertiveness,1997,0.10219758661731126,0.10219758661731126,Pop,8,#f032e6
40,Assertiveness,2007,0.4584860821306192,0.4584860821306192,Pop,8,#f032e6
41,Assertiveness,2017,0.3201520927560368,0.3201520927560368,Pop,8,#f032e6
42,Authority-challenging,1957,0.24790215130212698,0.24790215130212698,Pop,26,#A0C1B1
43,Authority-challenging,1967,0.3543530872560484,0.3543530872560484,Pop,26,#A0C1B1
44,Authority-challenging,1977,0.36369405170866,0.36369405170866,Pop,26,#A0C1B1
45,Authority-challenging,1987,0.3441794655114492,0.3441794655114492,Pop,26,#A0C1B1
46,Authority-challenging,1997,0.4655810701563681,0.4655810701563681,Pop,26,#A0C1B1
47,Authority-challenging,2007,0.26269445539053915,0.26269445539053915,Pop,26,#A0C1B1
48,Authority-challenging,2017,0.3134502671231008,0.3134502671231008,Pop,26,#A0C1B1
49,Cautiousness,1957,0.023018900087005575,0.023018900087005575,Pop,7,#46f0f0
50,Cautiousness,1967,0.07971192381247005,0.07971192381247005,Pop,7,#46f0f0
51,Cautiousness,1977,0.5015755084868265,0.5015755084868265,Pop,7,#46f0f0
52,Cautiousness,1987,0.4075745771985225,0.4075745771985225,Pop,7,#46f0f0
53,Cautiousness,1997,0.3138553217054295,0.3138553217054295,Pop,7,#46f0f0
54,Cautiousness,2007,0.2950662675087348,0.2950662675087348,Pop,7,#46f0f0
55,Cautiousness,2017,0.5703331917699851,0.5703331917699851,Pop,7,#46f0f0
56,Cheerfulness,1957,0.99314288552007,0.99314288552007,Pop,13,#aa6e28
57,Cheerfulness,1967,0.9343928612542768,0.9343928612542768,Pop,13,#aa6e28
58,Cheerfulness,1977,0.9803001535572342,0.9803001535572342,Pop,13,#aa6e28
59,Cheerfulness,1987,0.9894676036209148,0.9894676036209148,Pop,13,#aa6e28
60,Cheerfulness,1997,0.9631282042350758,0.9631282042350758,Pop,13,#aa6e28
61,Cheerfulness,2007,0.9934250652522896,0.9934250652522896,Pop,13,#aa6e28
62,Cheerfulness,2017,0.9920852363646572,0.9920852363646572,Pop,13,#aa6e28
63,Cooperation,1957,0.21609131828368824,0.21609131828368824,Pop,9,#d2f53c
64,Cooperation,1967,0.22664029214130305,0.22664029214130305,Pop,9,#d2f53c
65,Cooperation,1977,0.7273102328903167,0.7273102328903167,Pop,9,#d2f53c
66,Cooperation,1987,0.7806948586764642,0.7806948586764642,Pop,9,#d2f53c
67,Cooperation,1997,0.8589791342738369,0.8589791342738369,Pop,9,#d2f53c
68,Cooperation,2007,0.6988932991742984,0.6988932991742984,Pop,9,#d2f53c
69,Cooperation,2017,0.7620937122357555,0.7620937122357555,Pop,9,#d2f53c
70,Dutifulness,1957,0.048652082714747365,0.048652082714747365,Pop,12,#e6beff
71,Dutifulness,1967,0.09832103093357908,0.09832103093357908,Pop,12,#e6beff
72,Dutifulness,1977,0.14325439249515154,0.14325439249515154,Pop,12,#e6beff
73,Dutifulness,1987,0.6300743145578909,0.6300743145578909,Pop,12,#e6beff
74,Dutifulness,1997,0.4211010125454068,0.4211010125454068,Pop,12,#e6beff
75,Dutifulness,2007,0.2458944892720561,0.2458944892720561,Pop,12,#e6beff
76,Dutifulness,2017,0.339675335984028,0.339675335984028,Pop,12,#e6beff
77,Emotionality,1957,0.8858398475634047,0.8858398475634047,Pop,11,#008080
78,Emotionality,1967,0.7384352364792963,0.7384352364792963,Pop,11,#008080
79,Emotionality,1977,0.6986204089963146,0.6986204089963146,Pop,11,#008080
80,Emotionality,1987,0.9864227511445812,0.9864227511445812,Pop,11,#008080
81,Emotionality,1997,0.964038998491346,0.964038998491346,Pop,11,#008080
82,Emotionality,2007,0.9467165415994716,0.9467165415994716,Pop,11,#008080
83,Emotionality,2017,0.7659337867017915,0.7659337867017915,Pop,11,#008080
84,Excitement-seeking,1957,0.9663076005723694,0.9663076005723694,Pop,18,#ffd8b1
85,Excitement-seeking,1967,0.8838205520023334,0.8838205520023334,Pop,18,#ffd8b1
86,Excitement-seeking,1977,0.6953344752513057,0.6953344752513057,Pop,18,#ffd8b1
87,Excitement-seeking,1987,0.7633609381447231,0.7633609381447231,Pop,18,#ffd8b1
88,Excitement-seeking,1997,0.7735979304723282,0.7735979304723282,Pop,18,#ffd8b1
89,Excitement-seeking,2007,0.8155904273755548,0.8155904273755548,Pop,18,#ffd8b1
90,Excitement-seeking,2017,0.6885871307337339,0.6885871307337339,Pop,18,#ffd8b1
91,Fiery,1957,0.5675203228503936,0.5675203228503936,Pop,5,#f58231
92,Fiery,1967,0.4508547818361349,0.4508547818361349,Pop,5,#f58231
93,Fiery,1977,0.09354626716692876,0.09354626716692876,Pop,5,#f58231
94,Fiery,1987,0.12188899308042295,0.12188899308042295,Pop,5,#f58231
95,Fiery,1997,0.1647220606677265,0.1647220606677265,Pop,5,#f58231
96,Fiery,2007,0.1113440396437052,0.1113440396437052,Pop,5,#f58231
97,Fiery,2017,0.06916871181302381,0.06916871181302381,Pop,5,#f58231
98,Gregariousness,1957,0.9569179912433872,0.9569179912433872,Pop,28,##9ACBEA
99,Gregariousness,1967,0.8713335166921594,0.8713335166921594,Pop,28,##9ACBEA
100,Gregariousness,1977,0.8094291954097983,0.8094291954097983,Pop,28,##9ACBEA
101,Gregariousness,1987,0.6860428382612435,0.6860428382612435,Pop,28,##9ACBEA
102,Gregariousness,1997,0.16164289178887575,0.16164289178887575,Pop,28,##9ACBEA
103,Gregariousness,2007,0.7093025513660542,0.7093025513660542,Pop,28,##9ACBEA
104,Gregariousness,2017,0.8530289223185427,0.8530289223185427,Pop,28,##9ACBEA
105,Imagination,1957,0.905325429749586,0.905325429749586,Pop,16,#aaffc3
106,Imagination,1967,0.9004535998084009,0.9004535998084009,Pop,16,#aaffc3
107,Imagination,1977,0.5881939537513738,0.5881939537513738,Pop,16,#aaffc3
108,Imagination,1987,0.7332213070170166,0.7332213070170166,Pop,16,#aaffc3
109,Imagination,1997,0.6840752509052981,0.6840752509052981,Pop,16,#aaffc3
110,Imagination,2007,0.6323404576711864,0.6323404576711864,Pop,16,#aaffc3
111,Imagination,2017,0.4120324587121188,0.4120324587121188,Pop,16,#aaffc3
112,Immoderation,1957,0.6729727652346267,0.6729727652346267,Pop,20,#808080
113,Immoderation,1967,0.810519029205941,0.810519029205941,Pop,20,#808080
114,Immoderation,1977,0.4949715640284122,0.4949715640284122,Pop,20,#808080
115,Immoderation,1987,0.4613622269403418,0.4613622269403418,Pop,20,#808080
116,Immoderation,1997,0.3580215281700684,0.3580215281700684,Pop,20,#808080
117,Immoderation,2007,0.4496372629098129,0.4496372629098129,Pop,20,#808080
118,Immoderation,2017,0.4323301233488378,0.4323301233488378,Pop,20,#808080
119,Intellect,1957,0.5172491614334443,0.5172491614334443,Pop,21,#000000
120,Intellect,1967,0.7623783612627983,0.7623783612627983,Pop,21,#000000
121,Intellect,1977,0.6343528834097273,0.6343528834097273,Pop,21,#000000
122,Intellect,1987,0.8595168683507629,0.8595168683507629,Pop,21,#000000
123,Intellect,1997,0.8198909409725346,0.8198909409725346,Pop,21,#000000
124,Intellect,2007,0.7646369225087397,0.7646369225087397,Pop,21,#000000
125,Intellect,2017,0.6866544442150964,0.6866544442150964,Pop,21,#000000
126,Melancholy,1957,0.5753412749718484,0.5753412749718484,Pop,15,#800000
127,Melancholy,1967,0.7616927634713258,0.7616927634713258,Pop,15,#800000
128,Melancholy,1977,0.3079576280422365,0.3079576280422365,Pop,15,#800000
129,Melancholy,1987,0.4796345239911626,0.4796345239911626,Pop,15,#800000
130,Melancholy,1997,0.8163491859936716,0.8163491859936716,Pop,15,#800000
131,Melancholy,2007,0.5721171863499928,0.5721171863499928,Pop,15,#800000
132,Melancholy,2017,0.16317083858841247,0.16317083858841247,Pop,15,#800000
133,Modesty,1957,0.4723522995097748,0.4723522995097748,Pop,14,#fffac8
134,Modesty,1967,0.7368439223563759,0.7368439223563759,Pop,14,#fffac8
135,Modesty,1977,0.9148763708896336,0.9148763708896336,Pop,14,#fffac8
136,Modesty,1987,0.9891382137023078,0.9891382137023078,Pop,14,#fffac8
137,Modesty,1997,0.9980648408831244,0.9980648408831244,Pop,14,#fffac8
138,Modesty,2007,0.9653430041295551,0.9653430041295551,Pop,14,#fffac8
139,Modesty,2017,0.823476813902738,0.823476813902738,Pop,14,#fffac8
140,Orderliness,1957,0.8044816382984712,0.8044816382984712,Pop,17,#808000
141,Orderliness,1967,0.4656679862703919,0.4656679862703919,Pop,17,#808000
142,Orderliness,1977,0.9234600561614452,0.9234600561614452,Pop,17,#808000
143,Orderliness,1987,0.5702661863109864,0.5702661863109864,Pop,17,#808000
144,Orderliness,1997,0.306768059926428,0.306768059926428,Pop,17,#808000
145,Orderliness,2007,0.620033496497392,0.620033496497392,Pop,17,#808000
146,Orderliness,2017,0.8633536427071935,0.8633536427071935,Pop,17,#808000
147,Outgoing,1957,0.9403724812541302,0.9403724812541302,Pop,23,#F84EB8
148,Outgoing,1967,0.7524005880896019,0.7524005880896019,Pop,23,#F84EB8
149,Outgoing,1977,0.7067148438072143,0.7067148438072143,Pop,23,#F84EB8
150,Outgoing,1987,0.7970522639633744,0.7970522639633744,Pop,23,#F84EB8
151,Outgoing,1997,0.24742109543030702,0.24742109543030702,Pop,23,#F84EB8
152,Outgoing,2007,0.651872828519583,0.651872828519583,Pop,23,#F84EB8
153,Outgoing,2017,0.7895801258449497,0.7895801258449497,Pop,23,#F84EB8
154,Prone to worry,1957,0.5092218162913716,0.5092218162913716,Pop,10,#fabebe
155,Prone to worry,1967,0.35211953718321226,0.35211953718321226,Pop,10,#fabebe
156,Prone to worry,1977,0.08138105675447965,0.08138105675447965,Pop,10,#fabebe
157,Prone to worry,1987,0.3113158537998026,0.3113158537998026,Pop,10,#fabebe
158,Prone to worry,1997,0.5044537968213495,0.5044537968213495,Pop,10,#fabebe
159,Prone to worry,2007,0.20898189082142127,0.20898189082142127,Pop,10,#fabebe
160,Prone to worry,2017,0.03737068664398835,0.03737068664398835,Pop,10,#fabebe
161,Self-consciousness,1957,0.0659614226193293,0.0659614226193293,Pop,25,#586185
162,Self-consciousness,1967,0.19515965133643792,0.19515965133643792,Pop,25,#586185
163,Self-consciousness,1977,0.14415075404266686,0.14415075404266686,Pop,25,#586185
164,Self-consciousness,1987,0.1889555494699422,0.1889555494699422,Pop,25,#586185
165,Self-consciousness,1997,0.6272045702816977,0.6272045702816977,Pop,25,#586185
166,Self-consciousness,2007,0.2301944031766825,0.2301944031766825,Pop,25,#586185
167,Self-consciousness,2017,0.1145548254042057,0.1145548254042057,Pop,25,#586185
168,Self-discipline,1957,0.3006041228479889,0.3006041228479889,Pop,22,#B06A3F
169,Self-discipline,1967,0.21104988858825224,0.21104988858825224,Pop,22,#B06A3F
170,Self-discipline,1977,0.676538274481526,0.676538274481526,Pop,22,#B06A3F
171,Self-discipline,1987,0.7271624573446369,0.7271624573446369,Pop,22,#B06A3F
172,Self-discipline,1997,0.30877065907943896,0.30877065907943896,Pop,22,#B06A3F
173,Self-discipline,2007,0.5995048563308918,0.5995048563308918,Pop,22,#B06A3F
174,Self-discipline,2017,0.8158158519402441,0.8158158519402441,Pop,22,#B06A3F
